Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
TCL,Crops and livestock products,250,France,5608,Import Quantity,2111,Cattle,1961,1961,Head,11500,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2111,Cattle,1962,1962,Head,30800,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2111,Cattle,1963,1963,Head,35800,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2111,Cattle,1964,1964,Head,18700,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2111,Cattle,1965,1965,Head,6500,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2111,Cattle,1966,1966,Head,10109,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2111,Cattle,1967,1967,Head,14045,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2111,Cattle,1968,1968,Head,23737,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2111,Cattle,1969,1969,Head,52664,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2111,Cattle,1970,1970,Head,43495,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2111,Cattle,1971,1971,Head,32826,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2111,Cattle,1972,1972,Head,47986,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2111,Cattle,1973,1973,Head,48998,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2111,Cattle,1974,1974,Head,25441,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2111,Cattle,1975,1975,Head,74001,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2111,Cattle,1976,1976,Head,148224,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2111,Cattle,1977,1977,Head,257784,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2111,Cattle,1978,1978,Head,299661,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2111,Cattle,1979,1979,Head,238593,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2111,Cattle,1980,1980,Head,226087,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2111,Cattle,1981,1981,Head,198821,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2111,Cattle,1982,1982,Head,241547,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2111,Cattle,1983,1983,Head,255341,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2111,Cattle,1984,1984,Head,274268,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2111,Cattle,1985,1985,Head,252858,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2111,Cattle,1986,1986,Head,320469,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2111,Cattle,1987,1987,Head,379876,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2111,Cattle,1988,1988,Head,244271,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2111,Cattle,1989,1989,Head,292464,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2111,Cattle,1990,1990,Head,390917,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2111,Cattle,1991,1991,Head,448901,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2111,Cattle,1992,1992,Head,381938,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2111,Cattle,1993,1993,Head,391935,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2111,Cattle,1994,1994,Head,483276,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2111,Cattle,1995,1995,Head,475217,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2111,Cattle,1996,1996,Head,293508,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2111,Cattle,1997,1997,Head,318524,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2111,Cattle,1998,1998,Head,275508,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2111,Cattle,1999,1999,Head,303559,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2111,Cattle,2000,2000,Head,211166,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2111,Cattle,2001,2001,Head,133948,A,Official figure
TCL,Crops and livestock products,250,France,5608,Import Quantity,2111,Cattle,2002,2002,Head,123253,A,Official figure
